,pobre,area,casal,genero,raca,escolaridade,atividade,aposentadoria,dom_tipo,agua_adeq,esgoto_ad,banheiro,paredes,casa_tipo,geladeira,maquina_lavar,tv,computador,internet,carro,moto,idade,n_moradores,n_criancas,n_adultos,densidade,fone_pc
0,0,urbano,casado,homem,branco,superior completo,inativo,sim,apartamento,adequada,adequado,sim,adequada,alugado,nao,sim,sim,sim,sim,sim,nao,52,4,1,3,0.444444444444444,1.0
1,0,urbano,solteiro,mulher,preto ou pardo,medio completo,inativo,sim,apartamento,adequada,adequado,sim,adequada,cedido,nao,sim,sim,sim,sim,sim,nao,60,2,0,2,0.285714285714286,1.0
2,0,urbano,solteiro,homem,branco,medio completo,inativo,sim,apartamento,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,nao,nao,sim,nao,75,1,0,1,0.125,1.0
3,0,urbano,casado,homem,branco,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,alugado,nao,nao,sim,sim,sim,nao,sim,47,3,1,2,0.5,1.0
4,0,urbano,casado,homem,branco,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,proprio nao pago,nao,sim,sim,sim,nao,sim,nao,39,2,0,2,0.25,1.0
5,0,urbano,casado,homem,branco,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,proprio nao pago,nao,sim,sim,sim,sim,sim,nao,34,2,0,2,0.25,1.0
6,0,urbano,casado,mulher,preto ou pardo,superior completo,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,sim,nao,59,2,0,2,0.2,1.0
7,0,urbano,solteiro,mulher,branco,superior completo,inativo,sim,casa,adequada,adequado,sim,adequada,cedido,nao,sim,sim,sim,sim,nao,nao,71,3,0,3,0.2,1.0
8,1,urbano,casado,homem,preto ou pardo,fundam incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,alugado,sim,nao,sim,nao,nao,nao,nao,45,4,2,2,1.33333333333333,0.5
9,1,urbano,solteiro,mulher,preto ou pardo,fundam completo,inativo,nao,casa,adequada,adequado,sim,adequada,alugado,nao,sim,sim,sim,sim,nao,nao,46,3,1,3,0.75,1.0
