"","hh_id","pobre","pobre_ex","area","labor_def","other_def","rdpc","n_moradores","n_criancas","n_adultos","casal","idade","genero","raca","escolaridade","atividade","aposentadoria","dom_tipo","agua_adeq","esgoto_ad","banheiro","paredes","casa_tipo","densidade","fone_pc","geladeira","maquina_lavar","tv","computador","internet","carro","moto"
"1",2300020040207,"nao pobre","nao pobre ex","urbano",0,12096.4926620258,3278.2929160189,4,1,3,"casado",52,"homem","branco","superior completo","inativo","sim","apartamento","adequada","adequado","sim","adequada","alugado",0.444444444444444,1,"nao","sim","sim","sim","sim","sim","nao"
"2",2300020040307,"nao pobre","nao pobre ex","urbano",0,1023.07624378828,511.538121894141,2,0,2,"solteiro",60,"mulher","preto ou pardo","medio completo","inativo","sim","apartamento","adequada","adequado","sim","adequada","cedido",0.285714285714286,1,"nao","sim","sim","sim","sim","sim","nao"
"3",2300020040507,"nao pobre","nao pobre ex","urbano",0,15376.8974517277,15376.8974517277,1,0,1,"solteiro",75,"homem","branco","medio completo","inativo","sim","apartamento","adequada","adequado","sim","adequada","proprio pago",0.125,1,"nao","sim","sim","nao","nao","sim","nao"
"4",2300020040707,"nao pobre","nao pobre ex","urbano",2546.79108729913,0,1358.28857989287,3,1,2,"casado",47,"homem","branco","medio completo","ativo ocupado","nao","casa","adequada","adequado","sim","adequada","alugado",0.5,1,"nao","nao","sim","sim","sim","nao","sim"
"5",2300020040907,"nao pobre","nao pobre ex","urbano",18336.8958285538,0,12733.9554364957,2,0,2,"casado",39,"homem","branco","superior completo","ativo ocupado","nao","apartamento","adequada","adequado","sim","adequada","proprio nao pago",0.25,1,"nao","sim","sim","sim","nao","sim","nao"
"6",2300020041107,"nao pobre","nao pobre ex","urbano",6112.29860951792,0,4074.86573967861,2,0,2,"casado",34,"homem","branco","superior completo","ativo ocupado","nao","apartamento","adequada","adequado","sim","adequada","proprio nao pago",0.25,1,"nao","sim","sim","sim","sim","sim","nao"
"7",2300020041207,"nao pobre","nao pobre ex","urbano",0,6150.75898069107,6640.88701256432,2,0,2,"casado",59,"mulher","preto ou pardo","superior completo","inativo","sim","casa","adequada","adequado","sim","adequada","proprio pago",0.2,1,"sim","sim","sim","sim","sim","sim","nao"
"8",2300020041307,"nao pobre","nao pobre ex","urbano",0,6253.27163036925,2423.31687747302,3,0,3,"solteiro",71,"mulher","branco","superior completo","inativo","sim","casa","adequada","adequado","sim","adequada","cedido",0.2,1,"nao","sim","sim","sim","sim","nao","nao"
"9",2300048660107,"pobre","pobre ex","urbano",305.614930475896,164.020239485095,117.408792490248,4,2,2,"casado",45,"homem","preto ou pardo","fundam incompleto","ativo ocupado","nao","casa","adequada","adequado","sim","adequada","alugado",1.33333333333333,0.5,"sim","nao","sim","nao","nao","nao","nao"
"10",2300048660307,"pobre","nao pobre ex","urbano",0,0,407.486573967861,3,1,3,"solteiro",46,"mulher","preto ou pardo","fundam completo","inativo","nao","casa","adequada","adequado","sim","adequada","alugado",0.75,1,"nao","sim","sim","sim","sim","nao","nao"
"11",2300048660407,"nao pobre","nao pobre ex","urbano",1528.07465237948,91.2362582135842,809.655455296532,2,0,2,"solteiro",53,"mulher","branco","sem instrucao","ativo ocupado","nao","casa","adequada","adequado","sim","adequada","alugado",0.666666666666667,1,"sim","nao","sim","nao","sim","nao","nao"
"12",2300048660507,"nao pobre","nao pobre ex","urbano",50.9358217459827,2458.25333928286,2509.18916102885,1,0,1,"solteiro",73,"mulher","preto ou pardo","fundam incompleto","ativo ocupado","sim","casa","adequada","adequado","sim","adequada","proprio pago",0.142857142857143,1,"sim","sim","sim","nao","sim","nao","nao"
"13",2300048660707,"nao pobre","nao pobre ex","urbano",0,1023.07624378828,1534.04018174459,4,0,4,"solteiro",68,"mulher","preto ou pardo","fundam completo","inativo","sim","casa","adequada","adequado","sim","adequada","alugado",0.5,0.75,"sim","sim","sim","nao","sim","sim","nao"
"14",2300048660807,"nao pobre","nao pobre ex","urbano",4074.86573967861,0,1699.31399448896,3,1,2,"solteiro",50,"mulher","branco","superior completo","ativo ocupado","nao","casa","adequada","adequado","sim","adequada","proprio pago",0.3,0.5,"sim","sim","sim","sim","sim","sim","nao"
"15",2300048660907,"nao pobre","nao pobre ex","urbano",0,0,1019.87762291905,2,0,2,"solteiro",50,"mulher","preto ou pardo","medio completo","inativo","nao","casa","adequada","adequado","sim","adequada","alugado",0.333333333333333,1,"sim","sim","sim","sim","sim","nao","nao"
"16",2300048661207,"nao pobre","nao pobre ex","urbano",0,1023.07624378828,511.538121894141,2,0,2,"solteiro",81,"mulher","branco","sem instrucao","inativo","nao","casa","adequada","adequado","sim","adequada","proprio pago",0.222222222222222,0.5,"sim","nao","sim","nao","nao","nao","nao"
"17",2300048661407,"nao pobre","nao pobre ex","urbano",0,3075.37949034554,1366.83532904246,3,0,3,"casado",73,"homem","branco","superior completo","inativo","sim","casa","adequada","adequado","sim","adequada","proprio pago",0.375,1,"sim","sim","sim","sim","sim","sim","nao"
"18",2300095830107,"pobre","nao pobre ex","urbano",1018.71643491965,210.150931840278,307.216841689983,4,2,2,"casado",33,"mulher","preto ou pardo","medio completo","ativo ocupado","nao","casa","adequada","inadequado","sim","adequada","proprio pago",0.8,1,"sim","nao","sim","nao","sim","sim","nao"
"19",2300095830207,"pobre","pobre ex","urbano",0,256.281624195461,64.0704060488653,4,2,2,"casado",28,"mulher","preto ou pardo","medio completo","inativo","nao","casa","inadequada","inadequado","sim","adequada","proprio pago",0.8,1,"sim","nao","sim","nao","sim","nao","nao"
"20",2300095830307,"pobre","nao pobre ex","urbano",305.614930475896,252.181118208334,177.891255800377,4,3,2,"solteiro",33,"mulher","preto ou pardo","sem instrucao","ativo ocupado","nao","casa","adequada","adequado","sim","adequada","alugado",1.33333333333333,0.5,"sim","nao","sim","nao","sim","nao","nao"
